createdAt,value
2025-04-03T23:59:47.306Z,4.00
2025-04-03T23:58:47.295Z,3.50
2025-04-03T23:57:47.104Z,3.20
2025-04-03T23:56:47.165Z,3.20
2025-04-03T23:55:55.347Z,3.40
2025-04-03T23:54:47.192Z,4.80
2025-04-03T23:53:47.834Z,3.60
2025-04-03T23:52:47.304Z,5.30
2025-04-03T23:51:47.268Z,4.00
2025-04-03T23:50:47.282Z,3.40
2025-04-03T23:49:47.301Z,2.90
2025-04-03T23:48:47.343Z,4.50
2025-04-03T23:47:47.457Z,3.20
2025-04-03T23:46:47.292Z,3.90
2025-04-03T23:45:57.336Z,3.50
2025-04-03T23:44:47.306Z,3.90
2025-04-03T23:43:47.300Z,3.20
2025-04-03T23:42:47.303Z,4.90
2025-04-03T23:41:47.426Z,4.30
2025-04-03T23:40:47.374Z,3.90
2025-04-03T23:39:47.321Z,3.90
2025-04-03T23:38:47.349Z,3.90
2025-04-03T23:37:47.380Z,4.00
2025-04-03T23:36:47.414Z,3.90
2025-04-03T23:35:57.967Z,4.00
2025-04-03T23:34:47.445Z,4.90
2025-04-03T23:33:47.652Z,3.70
2025-04-03T23:32:47.560Z,5.00
2025-04-03T23:31:47.487Z,4.80
2025-04-03T23:30:47.443Z,4.30
2025-04-03T23:29:47.581Z,4.40
2025-04-03T23:28:47.506Z,3.60
2025-04-03T23:27:47.445Z,3.60
2025-04-03T23:26:47.445Z,4.00
2025-04-03T23:25:58.380Z,4.00
2025-04-03T23:24:47.522Z,5.10
2025-04-03T23:23:47.592Z,4.40
2025-04-03T23:22:47.670Z,4.40
2025-04-03T23:21:47.619Z,3.30
2025-04-03T23:20:47.521Z,3.50
2025-04-03T23:19:47.624Z,4.10
2025-04-03T23:18:47.720Z,2.80
2025-04-03T23:17:47.647Z,3.60
2025-04-03T23:16:47.576Z,4.50
2025-04-03T23:15:58.160Z,3.70
2025-04-03T23:14:47.611Z,3.70
2025-04-03T23:13:47.743Z,3.40
2025-04-03T23:12:47.753Z,4.60
2025-04-03T23:11:47.771Z,3.40
2025-04-03T23:10:47.802Z,4.00
2025-04-03T23:09:47.743Z,4.10
2025-04-03T23:08:47.822Z,3.00
2025-04-03T23:07:47.691Z,3.60
2025-04-03T23:06:47.673Z,2.90
2025-04-03T23:05:58.103Z,5.60
2025-04-03T23:04:47.892Z,3.00
2025-04-03T23:03:47.870Z,3.30
2025-04-03T23:02:47.837Z,3.30
2025-04-03T23:01:47.812Z,4.80
2025-04-03T23:00:47.765Z,2.70
2025-04-03T22:59:47.858Z,4.20
2025-04-03T22:58:47.801Z,3.90
2025-04-03T22:57:47.877Z,3.70
2025-04-03T22:56:47.886Z,4.00
2025-04-03T22:55:56.413Z,3.30
2025-04-03T22:54:47.852Z,3.60
2025-04-03T22:53:47.885Z,3.00
2025-04-03T22:52:47.921Z,3.90
2025-04-03T22:51:47.884Z,4.40
2025-04-03T22:50:47.871Z,3.20
2025-04-03T22:49:47.857Z,4.90
2025-04-03T22:48:48.040Z,4.20
2025-04-03T22:47:47.999Z,3.50
2025-04-03T22:46:47.995Z,4.10
2025-04-03T22:45:57.991Z,4.30
2025-04-03T22:44:47.956Z,4.80
2025-04-03T22:43:47.951Z,3.70
2025-04-03T22:42:47.953Z,4.10
2025-04-03T22:41:48.094Z,4.20
2025-04-03T22:40:48.011Z,4.60
2025-04-03T22:39:48.055Z,3.90
2025-04-03T22:38:48.030Z,3.90
2025-04-03T22:37:47.987Z,3.90
2025-04-03T22:36:48.033Z,3.60
2025-04-03T22:36:01.542Z,4.50
2025-04-03T22:34:48.150Z,4.60
2025-04-03T22:33:48.159Z,4.20
2025-04-03T22:32:48.161Z,5.00
2025-04-03T22:31:48.028Z,4.70
2025-04-03T22:30:48.102Z,5.00
2025-04-03T22:29:48.136Z,4.40
2025-04-03T22:28:48.183Z,6.10
2025-04-03T22:27:48.206Z,4.20
2025-04-03T22:26:48.145Z,4.00
2025-04-03T22:25:56.187Z,5.30
2025-04-03T22:24:48.104Z,4.00
2025-04-03T22:23:48.308Z,3.80
2025-04-03T22:22:48.289Z,4.50
2025-04-03T22:21:48.158Z,3.50
2025-04-03T22:20:48.337Z,4.10
2025-04-03T22:19:48.223Z,4.70
2025-04-03T22:18:48.363Z,3.30
2025-04-03T22:17:48.268Z,4.40
2025-04-03T22:16:48.279Z,3.00
2025-04-03T22:15:58.355Z,3.10
2025-04-03T22:14:48.267Z,4.80
2025-04-03T22:13:48.221Z,4.10
2025-04-03T22:12:48.409Z,4.20
2025-04-03T22:11:48.389Z,5.40
2025-04-03T22:10:48.327Z,3.40
2025-04-03T22:09:48.347Z,3.50
2025-04-03T22:08:48.329Z,4.40
2025-04-03T22:07:48.391Z,4.40
2025-04-03T22:06:48.364Z,3.10
2025-04-03T22:05:57.904Z,4.40
